ID,Title 1,Title 2,Description,Acceptance Criteria,Start Date,Due Date,Parent,Tags,Figma Link,Work Item Type,Priority,Iteration Path,State,Reason,Assigned To,Area Path,Value Area,Created By,Associated Context,Activated By,Application Type,Is Automated,Issue,Repro Steps,Phase of Detection,Test Suite Type,Test Suite Type Id,Type of Testing
142468,,Unstructured citations,,"* Responses are in markdown format with citations* Citations cover the document name, blob url, extracted chunk, page number* If part of the response, Blob URLs are formatted on UI to open inside IC",,,142467,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,Kumar Mishra Suraj,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142469,,Internet citations,,* Responses are in markdown format with citations* Citations cover the external url and extracted chunk,,,142467,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,Kumar Mishra Suraj,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142470,,Structured citations,,,,,142467,,,User Story,2,\,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142471,Metadata tool (Agentic Orchestration),,,,,,,,,Feature,1,\IC Sprint 2026-Sprint 1,New,New,Kumar Mishra Suraj,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142472,,Responses related to Product and Usecase,,* Response context which is understandable by a business user. Prompts are currently referring to technical data such as table join information etc.* Knowledge base for a usecase only fetches information from the particular* Product knowledge base should not borrow information from usecases,,,142471,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,Kumar Mishra Suraj,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142595,Unstructured tool (Agentic Orchestration),,,,,,109940,,,Feature,1,\IC Sprint 2026-Sprint 1,New,New,"Bhowmick, Rahul",\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142596,,Re-enable unstructured tool for existing usecases that use it,,,,,142595,,,Bug,1,\IC Sprint 2026-Sprint 1,New,New,"Bhowmick, Rahul",\Insight Copilot,Business,"Debnath, Sourav",,,,,,"* Unstructured tool enabled for following usecases in agentic
```
gai_copilot_ic_demo
gai_copilot_check_and_coach
gai_copilot_procurement_scfd_ghq
gai_copilot_c2c_dpo
gai_copilot_corporate_affairs_ghq
gai_copilot_genai_for_o9
gai_copilot_catexpert_qa_ghq
gai_copilot_strategycomp_intel_ghq
```
 
* Internet tool enabled for 
```
gai_copilot_strategycomp_intel_ghq
```",DEV,,,
142782,,Langfuse roles with IC RBAC,,* Shared auth middleware with IC <> Langfuse  * Two possible approaches:     * ❌ Each Usecase as Project - more time needed but granular control (Phase 2 if needed)    * ✅Single project approach - simple implementation but risky since all access to everyone  * Standardized Nomenclature and access translation between IC and Langfuse,,,113673,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,"Ramachandra, Ashwini",\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142783,,Langfuse governance framework,,"* RACI Matrix across core product and usecase teams to clarify roles and responsibilities
* Governance process for reviewing the project access control and other features - tracing, annotation, testing and prompt management
* Prepare Langfuse documentation for developers
  * How to annotate trace
  * How to maintain GT and run 
  * How to update prompts
* Prompt management Pre-requisite
  * Clean up for system prompts - DONE
  * Clean up for usecase prompts - BG",,,113673,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,"Ramachandra, Ashwini",\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142784,,Langfuse tracing and feedback management,,"* All traces from UI (all envs), local setup are captured
* Feedback from UI (all envs) are captured against respective trace
* Developer can view all feedback at a usecase level in one place",,,113673,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142785,,Langfuse for running tests and validation,,"* Testers can run questions in bulk
* Each question can be validation using annotation",,,113673,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142786,,Langfuse for managing ground truth and benchmarking,,"* Ground truths for each usecase can be managed - read, update, delete
* Cases with different complexities can be covered - turns, language, data sources etc.
* Business users/developers can validate the question+response pair 
* After every change, tests can be run to validate against ground truth as benchmark
* Scores can help developers determine the change with ease",,,113673,,,User Story,1,\IC Sprint 2026-Sprint 1,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142787,,Langfuse for prompt management,,"* Prompts can be managed across environments - read, update, delete
* Prompts can be viewed against traces
*",,,113673,,,User Story,1,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142788,,Langfuse with SQLPad and Jupyter for codebase isolated development,,* Langfuse/SQLPad user flows to remove codebase touchpoints for usecase MLEs and remove dependecy on code migrations,,,113673,,,User Story,1,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142789,Loader (Agentic Orchestration),,,,,,109940,,,Feature,1,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142790,,Live response status,,* Loader state updates to the current step when it starts and ends with all intermediate information when step finishes (currently only updated when the step ends),,,142789,,,User Story,2,\IC Sprint 2026-Sprint 1,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142791,,Simplified execution logs,,"* Execution logs for each step is simplified for the user to go through
* Relatable and relevant information in paragraph/clean formatting is used for ease of reading and explainability
* Execution logs are retained in response for review from user on how the response was generated",,,142789,,,User Story,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142792,NL2SQL Tools (Agentic Orchestration),,,,,,109940,,,Feature,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142793,,IC NL2SQL improvement via Tredence POC,,"* Improved NL2SQL accuracy post integration
* Config options for selecting primary and fallback tools - IC NL2SQL, DBRX Genie, Vanna",,,142792,,,User Story,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142795,Response Guardrails,,"* Planner prompts to include scope information from each usecase - Usecase MLEs* Basic prompt injection handled at OpenAI, ABI specific to be tested* Explore RLS",,,,109940,,,Feature,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142796,Caching and FSLs,,,,,,109940,,,Feature,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142797,Edit Question (Agentic Orchestration),,,,,,109940,,,Feature,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
142798,Regenerate Response (Agentic Orchestration),,,,,,109940,,,Feature,2,\IC Sprint 2026-Sprint 2,New,New,,\Insight Copilot,Business,"Debnath, Sourav",,,,,,,,,,
